horizon,feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,n_obs,pearson_all,spearman_all,spearman_train,spearman_valid,spearman_test,split_ic_std,abs_spearman_all
60d,kma_asos_weather_station_daily__avg_temp_c,KMA 관측소 ASOS 기상 평균기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,2074,0.23101340260810785,0.3125382749038454,0.3476473727375544,0.21621665040114837,0.25660670725922863,0.05496846999023353,0.3125382749038454
60d,kma_asos_weather_daily__avg_temp_c,KMA 전국 ASOS 기상 평균기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_daily,2074,0.23101340260810785,0.3125333146610488,0.34765583873887196,0.2162134718944036,0.256612431626405,0.05497279501691932,0.3125333146610488
60d,epsis_power_trade_volume_monthly__trade_volume_ppa_total_gwh,EPSIS 전력거래량 전력거래량(PPA 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,1462,0.27551235187910295,0.3041726684728078,0.503211123323124,0.29339647029371174,0.23100870836877793,0.11643242015618277,0.3041726684728078
60d,kma_asos_weather_station_daily__max_temp_c,KMA 관측소 ASOS 기상 최고기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,2074,0.20593971067840156,0.29313911223323197,0.32284340827549257,0.20794376758843242,0.24761207545809014,0.04765064476273613,0.29313911223323197
60d,kma_asos_weather_daily__max_temp_c,KMA 전국 ASOS 기상 최고기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_daily,2074,0.20593971067840156,0.2931335951333374,0.3228294689639125,0.20793634085285037,0.24759161633065846,0.04764883842495713,0.2931335951333374
60d,epsis_power_trade_volume_monthly__trade_volume_coal_gasification_gwh,EPSIS 전력거래량 전력거래량(석탄가스화),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.24858175150624198,-0.28703511805891385,-0.3325670656774131,-0.3238199005793235,-0.3174909464748654,0.006181135526017865,0.28703511805891385
60d,epsis_power_trade_volume_monthly__trade_volume_hydro_gwh,EPSIS 전력거래량 전력거래량(수력),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,0.08713508163736815,0.2791639143980214,0.35585846756357414,0.06734573634093671,0.48340903922338296,0.17404259262022936,0.2791639143980214
60d,kma_asos_weather_daily__hdd18,KMA 전국 ASOS 기상 난방도일 HDD18,weather_kma,기상/KMA,raw.kma_asos_weather_daily,2074,-0.13975353187312006,-0.263493504292015,-0.33177242098280396,-0.12399101251069748,-0.1933163497068413,0.08637720877200694,0.263493504292015
60d,kma_asos_weather_station_daily__hdd18,KMA 관측소 ASOS 기상 난방도일 HDD18,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,2074,-0.13975353187312006,-0.2634895256202577,-0.3317679900419718,-0.1239935235088173,-0.19330644178538206,0.08637522145253015,0.2634895256202577
60d,epsis_power_trade_volume_monthly__trade_volume_waste_gwh,EPSIS 전력거래량 전력거래량(폐기물),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,0.1564236739669225,0.24392006190984614,0.15406040466262483,,0.2304320329891663,0.03818581416327074,0.24392006190984614
