feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_30d,missing_60d,missing_train,missing_valid,missing_test,abs_ic_30d,abs_ic_60d,max_abs_ic
eua_daily__acc_trdvol,EUA 일별 가격 거래량,external_market,외부시장,raw.eua_daily,0.0052531041069723014,0.005303760848601736,0.003703703703703704,0.006122448979591836,0.0071174377224199285,0.165923010628344,0.09927293300800501,0.165923010628344
mkt_market_vwap_lag_20d,시장 VWAP 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.10096886098576643,0.16358831480611502,0.16358831480611502
epsis_fuel_cost_monthly__heat_price_anthracite_krw_per_gcal,EPSIS 발전연료비 열량단가(무연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.1503758718065614,0.15891457494835676,0.15891457494835676
mkt_max_vwap,일별 최고 빈티지 VWAP,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.0864196821013622,0.15400205982532678,0.15400205982532678
epsis_power_trade_volume_monthly__trade_volume_market_total_gwh,EPSIS 전력거래량 전력거래량(시장 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.10291426981088743,0.15298769246872382,0.15298769246872382
mkt_volume_mean_60d,시장 거래량 로그값 60일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.09001495167627985,0.1529457692938813,0.1529457692938813
epsis_smp_monthly__smp_jeju_krw_per_kwh,EPSIS SMP 제주 SMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.1526684824147221,0.11426478415338441,0.1526684824147221
epsis_fuel_cost_monthly__fuel_cost_anthracite_krw_per_kwh,EPSIS 발전연료비 발전연료비(무연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.14683411423466214,0.15186477018603445,0.15186477018603445
kma_asos_weather_station_daily__precip_mm,KMA 관측소 ASOS 기상 강수량(mm),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.07356336457655746,0.14936140457789232,0.14936140457789232
kma_asos_weather_daily__precip_mm,KMA 전국 ASOS 기상 강수량(mm),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.07353078300505175,0.1493314809031095,0.1493314809031095
mkt_volume_lag_60d,시장 거래량 로그값 60일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.024832855778414518,0.026036644165863067,0.05555555555555555,0.0,0.0,0.0795054599405333,0.14889737155109783,0.14889737155109783
epsis_power_supply_daily__supply_capacity_mw,EPSIS 전력수급 공급능력(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.11672560800697233,0.14341753128923027,0.14341753128923027
epsis_power_supply_daily__reserve_margin_pct,EPSIS 전력수급 공급예비율(%),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.09497286559076552,0.13584859692088874,0.13584859692088874
epsis_power_trade_volume_monthly__trade_volume_lng_gwh,EPSIS 전력거래량 전력거래량(LNG),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.08907567299121404,0.13569645497369798,0.13569645497369798
epsis_fuel_cost_monthly__heat_price_oil_krw_per_gcal,EPSIS 발전연료비 열량단가(유류),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.09955516762167368,0.13182487768740273,0.13182487768740273
epsis_power_trade_volume_monthly__trade_volume_market_ppa_total_gwh,EPSIS 전력거래량 전력거래량(시장+PPA 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.1094026620548246,0.12796905358213348,0.12796905358213348
