feature_group,feature_group_ko,feature_count,baseline_candidate_count,mean_missing_all,mean_abs_ic_30d,mean_abs_ic_60d,max_abs_ic
power_epsis,전력/EPSIS,46,43,0.02865241863120973,0.11236001746864088,0.13013269039592673,0.559203781481979
market_internal,시장 내부,36,36,0.004964040025015635,0.07152908816531484,0.0988175605697111,0.22693163385912912
weather_kma,기상/KMA,23,22,0.0,0.10358718065030804,0.19767358738975488,0.34317547840230433
external_market,외부시장,10,10,0.001125703564727955,0.10223721551259217,0.09192874844593822,0.185436725895678
auction,KRX 경매,9,0,0.1951219512195122,0.09493155153186643,0.13294367245331565,0.2105862730085456
