feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
mkt_volume_std_5d,시장 거래량 로그값 5일 이동 표준편차,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0009380863039399625,0.0,0.0,0.001851851851851852,0.0,0.0,0.0009389671361502347,True
mkt_logret_mean_20d,시장 VWAP 로그수익률 20일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.003283302063789869,0.0004775549188156638,0.0014464802314368371,0.006481481481481481,0.0,0.0,0.010352941176470589,True
mkt_logret_vol_20d,시장 VWAP 로그수익률 20일 이동 변동성,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.003283302063789869,0.0004775549188156638,0.0014464802314368371,0.006481481481481481,0.0,0.0,0.002823529411764706,True
mkt_volume_mean_20d,시장 거래량 로그값 20일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0028142589118198874,0.0,0.0009643201542912247,0.005555555555555556,0.0,0.0,0.0009407337723424271,True
mkt_volume_std_20d,시장 거래량 로그값 20일 이동 표준편차,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0028142589118198874,0.0,0.0009643201542912247,0.005555555555555556,0.0,0.0,0.0009407337723424271,True
mkt_logret_mean_60d,시장 VWAP 로그수익률 60일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.009849906191369606,0.0062082139446036294,0.007232401157184185,0.019444444444444445,0.0,0.0,0.0028422548555187117,True
mkt_logret_vol_60d,시장 VWAP 로그수익률 60일 이동 변동성,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.009849906191369606,0.0062082139446036294,0.007232401157184185,0.019444444444444445,0.0,0.0,0.0023685457129322598,True
mkt_volume_mean_60d,시장 거래량 로그값 60일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.009380863039399626,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.000946969696969697,True
mkt_volume_std_60d,시장 거래량 로그값 60일 이동 표준편차,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.009380863039399626,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.000946969696969697,True
commodities_monthly__coal_newcastle,원자재 월별 가격 뉴캐슬 석탄 가격,external_market,외부시장,raw.commodities_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.010808270676691729,True
commodities_monthly__lng_japan,원자재 월별 가격 일본 LNG 가격,external_market,외부시장,raw.commodities_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.010808270676691729,True
commodities_monthly__natgas_europe,원자재 월별 가격 유럽 천연가스 가격,external_market,외부시장,raw.commodities_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.010808270676691729,True
epsis_fuel_cost_monthly__fuel_cost_anthracite_krw_per_kwh,EPSIS 발전연료비 발전연료비(무연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__fuel_cost_bituminous_coal_krw_per_kwh,EPSIS 발전연료비 발전연료비(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__fuel_cost_lng_krw_per_kwh,EPSIS 발전연료비 발전연료비(LNG),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
