target,sample_count,cap,min,p50,p90,p95,p99,max,over_cap_count,over_cap_rate,corr_abs_target_elapsed
target_logret_30d,2110,45,30.0,30.0,32.0,34.0,42.0,268.0,16,0.007582938388625593,0.0328105589587192
target_logret_60d,2089,75,60.0,60.0,62.0,64.0,72.11999999999989,268.0,15,0.007180469123982767,0.0039000065462875414
