policy,target,sample_count,mean,std,skew,kurtosis,min,p01,p05,p25,p50,p75,p95,p99,max,positive_rate,negative_rate,zero_rate
nominal_plus_15,target_logret_30d,2094,-0.0033440264339751986,0.14458314671034275,0.3092739371173596,3.48279537505856,-0.6069633705019584,-0.3904532259803138,-0.25176646497785926,-0.06228801444281224,0.004700926026860104,0.05461786131756081,0.21967917056758707,0.49102451163296595,0.7201332416978763,0.5262655205348615,0.4608404966571156,0.012893982808022923
no_elapsed_filter,target_logret_30d,2110,-0.0029699577934249512,0.1446733730584738,0.3064827671521148,3.4398828952573384,-0.6069633705019584,-0.388117130780784,-0.25216629507428484,-0.061929370076842655,0.0048092035550678395,0.0554639486603213,0.2202710810948943,0.4887071972758249,0.7201332416978763,0.5270142180094787,0.4601895734597156,0.012796208530805687
nominal_plus_15,target_logret_60d,2074,-0.007296192001580629,0.20361144447981366,0.07403450345456931,1.653520288681892,-0.6457799573381745,-0.5054831424839543,-0.3897454853433627,-0.10135421637849965,0.00036070135121607754,0.0902065929431185,0.32009442913329833,0.5540561445635047,0.9637067488642143,0.502410800385728,0.4922854387656702,0.005303760848601736
no_elapsed_filter,target_logret_60d,2089,-0.006521188316589356,0.20339222496766327,0.0699433299127818,1.6511250417991539,-0.6457799573381745,-0.5047328828264002,-0.38938385389755686,-0.10089454176271044,0.0013166558847469028,0.09039115535510703,0.320453984405827,0.5525268487166699,0.9637067488642143,0.5045476304451891,0.49018669219722355,0.005265677357587362
