target,is_blended,sample_count,mean,std,p05,p50,p95,positive_rate,avg_total_trdvol,avg_vwap_range
target_logret_30d,False,1842,-0.013437606997141843,0.13497232012884885,-0.2544872631847133,0.0,0.19091891288925142,0.499457111834962,134376.11834961997,0.0
target_logret_30d,True,252,0.07043524101583816,0.18569143105658834,-0.17838584419676365,0.04313581411958138,0.5187957645300696,0.7222222222222222,136458.32142857142,1483.7579365079366
target_logret_60d,False,1823,-0.02198069489585164,0.1971371333680798,-0.3902491879279451,-0.00477327875265766,0.2933432823802734,0.4690071311025782,132510.44212835983,0.0
target_logret_60d,True,251,0.09935659196756703,0.21803660416764672,-0.326437547553199,0.1072803177022105,0.46746027723374317,0.7450199203187251,136069.9203187251,1487.7529880478087
